Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,Monthly.Income.Fake,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,Interest.Rate.Clean,Loan.Length.Clean,FICO.Score
6900,6900,7.90%,36 months,home_improvement,14.18%,MI,OWN,2750,2755.396346,710-714,14,4087,0,6 years,0.079,36,710
18825,18825,17.27%,60 months,credit_card,33.15%,MI,MORTGAGE,3583.33,5699.637786,690-694,12,13426,0,8 years,0.1727,60,690
2000,2000,14.09%,36 months,debt_consolidation,28.46%,MI,MORTGAGE,3513.33,5952.632199,680-684,18,23635,3,10+ years,0.1409,36,680
10750,10725,13.11%,36 months,debt_consolidation,14.02%,MI,MORTGAGE,4416.67,4990.805848,685-689,6,11525,0,10+ years,0.1311,36,685
8000,8000,17.27%,36 months,other,12.20%,MI,RENT,1750,3235.407453,665-669,9,5828,0,4 years,0.1727,36,665
12000,12000,17.77%,36 months,debt_consolidation,24.48%,MI,OWN,3333.33,5171.461884,665-669,12,16984,0,10+ years,0.1777,36,665
2500,2125,12.92%,36 months,debt_consolidation,22.32%,MI,MORTGAGE,3750,5703.177629,670-674,21,4744,9,7 years,0.1292,36,670
14000,14000,14.09%,36 months,house,15.19%,MI,RENT,5416.67,6574.974727,690-694,6,4211,0,5 years,0.1409,36,690
28000,28000,20.49%,60 months,small_business,4.36%,MI,RENT,8416.67,10601.47364,710-714,11,1327,0,5 years,0.2049,60,710
4375,4375,14.33%,36 months,debt_consolidation,12%,MI,RENT,3333.33,4108.327208,675-679,10,2440,2,< 1 year,0.1433,36,675
14000,12800,14.79%,60 months,other,8.37%,MI,RENT,6166.67,6526.920756,710-714,5,2697,2,< 1 year,0.1479,60,710
3500,3500,11.49%,36 months,home_improvement,14.43%,MI,MORTGAGE,9166.67,9290.244607,690-694,12,34944,2,10+ years,0.1149,36,690
7200,7200,18.75%,36 months,debt_consolidation,16.21%,MI,RENT,8333.33,14605.05226,660-664,8,28916,0,10+ years,0.1875,36,660
,,,,,,,,,,,,,,,,,
,,,,,,,,4782.703778,6889.511293,,,,,,,,
